Date,Sales
2021-01-01,20000
2021-02-01,22000
2021-03-01,21000
2021-04-01,25000
2021-05-01,24000
2021-06-01,27000
2021-07-01,26000
2021-08-01,28000
2021-09-01,30000
2021-10-01,31000
2021-11-01,32000
2021-12-01,35000
2022-01-01,36000
2022-02-01,37000
2022-03-01,36500
2022-04-01,38000
2022-05-01,40000
2022-06-01,42000
2022-07-01,43000
2022-08-01,41000
2022-09-01,44000
2022-10-01,45000
2022-11-01,47000
2022-12-01,48000
2023-01-01,49000
2023-02-01,47000
2023-03-01,46000
2023-04-01,48000
2023-05-01,50000
2023-06-01,52000
2023-07-01,51000
2023-08-01,52500
2023-09-01,53000
2023-10-01,54000
2023-11-01,55000
2023-12-01,56000
